mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
124737,Ford,B-Max,1,1,0,7995,105.0,2015,FordB-Max
31500,Suzuki,Swift,1,0,0,7999,94.0,2015,SuzukiSwift
40000,smart,forTwo,1,0,0,7999,71.0,2015,smartforTwo
110999,Skoda,Fabia,1,0,0,6549,75.0,2016,SkodaFabia
98300,SEAT,Mii,1,0,0,6690,75.0,2016,SEATMii
73000,SEAT,Ibiza,1,0,0,6849,75.0,2016,SEATIbiza
65662,Peugeot,208,1,0,0,6885,68.0,2016,Peugeot208
58390,Renault,ZOE,2,1,0,6888,92.0,2016,RenaultZOE
94500,Volkswagen,up!,1,0,0,6900,75.0,2016,Volkswagenup!
35833,Renault,Twingo,1,0,0,6900,71.0,2016,RenaultTwingo
69000,Skoda,Citigo,1,0,0,6900,60.0,2016,SkodaCitigo
477000,Mercedes-Benz,E 200,0,1,0,6900,136.0,2016,Mercedes-BenzE 200
60953,Hyundai,i10,1,0,0,6950,67.0,2016,Hyundaii10
40700,Ford,Fiesta,1,0,0,6980,60.0,2016,FordFiesta
55584,Opel,Corsa,1,0,0,6990,69.0,2016,OpelCorsa
89000,Opel,Corsa,1,0,0,6990,90.0,2016,OpelCorsa
47616,Kia,Picanto,1,0,0,6990,67.0,2016,KiaPicanto
19800,Skoda,Citigo,1,0,0,6990,60.0,2016,SkodaCitigo
37938,Opel,Karl,1,0,0,6990,75.0,2016,OpelKarl
70206,Opel,Corsa,1,0,0,6990,69.0,2016,OpelCorsa
39997,Volkswagen,up!,1,0,0,6990,60.0,2016,Volkswagenup!
37219,Jeep,Compass,0,1,0,20990,140.0,2017,JeepCompass
51308,Ford,S-Max,0,1,0,24899,209.0,2017,FordS-Max
59000,SEAT,Alhambra,1,1,0,24999,150.0,2017,SEATAlhambra
54605,Ford,Focus,1,0,0,28990,349.0,2017,FordFocus
62000,Volkswagen,up!,1,0,0,5449,60.0,2017,Volkswagenup!
149000,Dacia,Logan,1,1,0,5490,90.0,2017,DaciaLogan
42590,Volkswagen,up!,1,0,0,5800,60.0,2017,Volkswagenup!
351000,Citroen,Berlingo,0,0,0,5900,99.0,2017,CitroenBerlingo
47800,Peugeot,108,1,0,0,5950,69.0,2017,Peugeot108
46260,Volkswagen,up!,1,0,0,5990,60.0,2017,Volkswagenup!
57000,Kia,Picanto,1,0,0,5999,67.0,2017,KiaPicanto
105000,smart,forTwo,1,0,0,5999,71.0,2017,smartforTwo
43000,Hyundai,i10,1,0,0,6000,67.0,2017,Hyundaii10
25800,Volkswagen,up!,1,0,0,6290,60.0,2017,Volkswagenup!
55750,Volkswagen,up!,1,0,0,6290,60.0,2017,Volkswagenup!
38614,Porsche,Panamera,1,1,0,93350,549.0,2018,PorschePanamera
38614,Porsche,Panamera,1,1,0,93350,549.0,2018,PorschePanamera
69000,Dacia,Logan,1,0,0,7499,73.0,2018,DaciaLogan
46545,Volkswagen,up!,1,0,0,7699,60.0,2018,Volkswagenup!
67200,Fiat,Panda,1,0,0,7950,69.0,2018,FiatPanda
5675,Renault,Twingo,1,0,0,7990,69.0,2018,RenaultTwingo
70000,smart,forTwo,1,1,0,8500,71.0,2018,smartforTwo
51800,Ford,Fiesta,0,0,0,8793,86.0,2018,FordFiesta
78400,Opel,Adam,1,0,0,9450,69.0,2018,OpelAdam
41225,Kia,Venga,1,0,0,9800,90.0,2018,KiaVenga
46250,smart,forTwo,1,1,0,10299,71.0,2018,smartforTwo
45590,smart,forTwo,1,1,0,10399,71.0,2018,smartforTwo
10100,Volkswagen,up!,1,1,0,10490,60.0,2018,Volkswagenup!
13990,smart,forTwo,1,1,0,10490,71.0,2018,smartforTwo
22800,smart,forTwo,1,1,0,10899,71.0,2018,smartforTwo
5734,Hyundai,i10,1,1,0,11990,87.0,2018,Hyundaii10
25200,Kia,Ceed / cee'd,1,0,0,12750,99.0,2018,KiaCeed / cee'd
15800,smart,forTwo,1,1,0,13299,71.0,2018,smartforTwo
52509,BMW,116,0,0,0,13450,116.0,2018,BMW116
18480,Volkswagen,Tiguan,1,1,0,35900,190.0,2019,VolkswagenTiguan
16622,Volvo,V60,1,1,0,35999,310.0,2019,VolvoV60
8400,Audi,Q3,1,1,0,36490,190.0,2019,AudiQ3
23722,BMW,530,0,1,0,37945,265.0,2019,BMW530
17762,Skoda,Kodiaq,0,1,0,38450,190.0,2019,SkodaKodiaq
16703,Volkswagen,Tiguan,0,1,0,39850,190.0,2019,VolkswagenTiguan
7800,Volkswagen,Tiguan,1,1,0,39950,230.0,2019,VolkswagenTiguan
14499,Mercedes-Benz,E 200,1,1,0,41395,184.0,2019,Mercedes-BenzE 200
59772,Volkswagen,T6 Multivan,0,1,0,42450,150.0,2019,VolkswagenT6 Multivan
23092,BMW,X3,0,1,0,44900,190.0,2019,BMWX3
56760,Volvo,V60,2,1,0,44900,392.0,2019,VolvoV60
12600,Audi,A5,1,1,0,46900,245.0,2019,AudiA5
1500,BMW,X3,0,1,0,47950,265.0,2019,BMWX3
28293,Audi,Q3,1,1,0,35800,190.0,2020,AudiQ3
5800,Skoda,Octavia,1,1,1,35888,245.0,2020,SkodaOctavia
29408,Audi,A4,0,1,0,36490,231.0,2020,AudiA4
8207,BMW,520,1,1,0,36500,184.0,2020,BMW520
24042,Mercedes-Benz,C 200,1,1,2,36520,184.0,2020,Mercedes-BenzC 200
20684,Volkswagen,Passat Variant,2,1,0,36990,218.0,2020,VolkswagenPassat Variant
6500,Volkswagen,Tiguan,1,1,1,36990,150.0,2020,VolkswagenTiguan
11500,Volkswagen,Caddy,0,1,1,37750,122.0,2020,VolkswagenCaddy
4950,Volkswagen,T-Roc,0,1,1,37890,150.0,2020,VolkswagenT-Roc
24661,Mercedes-Benz,E 200,0,1,2,37920,160.0,2020,Mercedes-BenzE 200
4990,Volkswagen,Tiguan,1,1,1,37999,150.0,2020,VolkswagenTiguan
8000,Skoda,Octavia,2,1,1,38888,204.0,2020,SkodaOctavia
15990,Skoda,Kodiaq,0,1,1,39333,190.0,2020,SkodaKodiaq
16002,Mercedes-Benz,E 220,0,1,2,39622,194.0,2020,Mercedes-BenzE 220
2642,Audi,A5,1,1,0,39900,204.0,2020,AudiA5
3500,Volvo,XC60,1,1,0,40490,190.0,2020,VolvoXC60
9300,BMW,520,0,1,0,40500,190.0,2020,BMW520
10,Citroen,C1,1,0,3,11796,72.0,2021,CitroenC1
500,Citroen,C1,1,0,3,11796,72.0,2021,CitroenC1
10,Opel,Corsa,1,0,3,11877,75.0,2021,OpelCorsa
10,Hyundai,i10,1,0,3,11890,67.0,2021,Hyundaii10
7,Hyundai,i10,1,0,3,11990,67.0,2021,Hyundaii10
7,Hyundai,i10,1,0,3,11990,67.0,2021,Hyundaii10
25,Hyundai,i10,1,0,3,11990,67.0,2021,Hyundaii10
25,Fiat,500,1,0,3,11990,69.0,2021,Fiat500
100,Skoda,Fabia,1,0,3,11990,60.0,2021,SkodaFabia
3500,Citroen,C1,1,0,1,11995,72.0,2021,CitroenC1
1150,Renault,Twingo,1,0,1,12180,92.0,2021,RenaultTwingo
100,Renault,Twingo,1,0,3,12280,65.0,2021,RenaultTwingo
100,Renault,Twingo,1,0,3,12280,65.0,2021,RenaultTwingo
5,Kia,Picanto,1,0,3,12390,67.0,2021,KiaPicanto
5,Kia,Picanto,1,0,3,12390,67.0,2021,KiaPicanto
5,Kia,Picanto,1,0,3,12390,67.0,2021,KiaPicanto
5,Kia,Picanto,1,0,3,12390,67.0,2021,KiaPicanto
25,Kia,Picanto,1,0,3,12390,67.0,2021,KiaPicanto
10,Citroen,C1,1,0,3,12396,72.0,2021,CitroenC1
20,Dacia,Sandero,1,0,3,12480,67.0,2021,DaciaSandero
70000,BMW,116,1,0,0,7600,122.0,2011,BMW116
66600,Toyota,Yaris,1,0,0,7636,99.0,2011,ToyotaYaris
160000,Audi,A3,0,0,0,7650,140.0,2011,AudiA3
69999,Opel,Astra,1,0,0,7800,140.0,2011,OpelAstra
152000,Volkswagen,Golf Plus,0,1,0,7800,105.0,2011,VolkswagenGolf Plus
170000,BMW,116,1,0,0,7800,136.0,2011,BMW116
174342,Volkswagen,Touran,0,0,0,7850,105.0,2011,VolkswagenTouran
95000,Volkswagen,Golf,1,1,0,7870,122.0,2011,VolkswagenGolf
164000,Volkswagen,Touran,0,0,0,7900,105.0,2011,VolkswagenTouran
73774,BMW,118,0,0,0,7900,143.0,2011,BMW118
130100,Mazda,6,1,0,0,7950,155.0,2011,Mazda6
108700,Ford,Mondeo,1,0,0,7960,120.0,2011,FordMondeo
131450,BMW,116,1,0,0,7990,136.0,2011,BMW116
93709,Toyota,Auris,2,1,0,7990,99.0,2011,ToyotaAuris
215000,BMW,520,0,1,0,7999,184.0,2011,BMW520
23012,Opel,Astra,1,0,0,7999,116.0,2011,OpelAstra
